Model,Dataset,ECE,ACE,Accuracy
ViT-B-32_laion2b_e16,clevr_count_all,0.3053276836872101,0.3052467107772827,0.1744973189113623
ViT-B-32_laion2b_e16,country211,0.1916232705116272,0.19160188734531403,0.16540284360189575
ViT-B-32_laion2b_e16,diabetic_retinopathy,0.07499637454748154,0.08258286118507385,0.22428778925497336
ViT-B-32_laion2b_e16,dmlab,0.5064509510993958,0.5063141584396362,0.1708375806891003
ViT-B-32_laion2b_e16,dtd,0.10763788223266602,0.10736945271492004,0.5404255319148936
ViT-B-32_laion2b_e16,eurosat,0.10326264053583145,0.09988529980182648,0.49823659267462145
ViT-B-32_laion2b_e16,fer2013,0.3122274577617645,0.3122195601463318,0.2587834627914268
ViT-B-32_laion2b_e16,flowers,0.04898400232195854,0.04853081330657005,0.6815567739403149
ViT-B-32_laion2b_e16,gtsrb,0.1445707231760025,0.14457069337368011,0.34220667189979626
ViT-B-32_laion2b_e16,kitti_closest_vehicle_distance,0.4376121461391449,0.43529829382896423,0.3150342094211521
ViT-B-32_laion2b_e16,mnist,0.186049222946167,0.18589942157268524,0.6287797250476094
ViT-B-32_laion2b_e16,pcam,0.2728205621242523,0.2728080749511719,0.5038217518004248
ViT-B-32_laion2b_e16,pets,0.027801543474197388,0.024488864466547966,0.8917434603965523
ViT-B-32_laion2b_e16,renderedsst2,0.17144045233726501,0.17457792162895203,0.5433765416015286
ViT-B-32_laion2b_e16,resisc45,0.04854902625083923,0.04781066253781319,0.6797737946414427
ViT-B-32_laion2b_e16,stl10,0.014911292120814323,0.013133581727743149,0.9653749999999999
ViT-B-32_laion2b_e16,sun397,0.0881589949131012,0.0881618782877922,0.6759625416398052
ViT-B-32_laion2b_e16,svhn,0.0492519848048687,0.05136067420244217,0.31057075756109304
ViT-B-32_laion2b_e16,voc2007,0.09178264439105988,0.09080363810062408,0.7987174122646702
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,cars,0.07996666431427002,0.07995609194040298,0.0055725633341470624
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,cifar100,0.09143134951591492,0.09125977009534836,0.017800000000000003
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,clevr_closest_object_distance,0.38707685470581055,0.38707688450813293,0.16450249445138107
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,clevr_count_all,0.13234001398086548,0.13234001398086548,0.13347285197036188
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,country211,0.11345590651035309,0.11334468424320221,0.004691943127962086
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,diabetic_retinopathy,0.2807125151157379,0.2806902825832367,0.1985575092925315
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,dmlab,0.3533783555030823,0.3532275855541229,0.14467783141764645
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,dtd,0.1849341094493866,0.18403808772563934,0.04734042553191489
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,eurosat,0.3806123435497284,0.3806123733520508,0.07943547439817175
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,fer2013,0.41888245940208435,0.4187646806240082,0.1487018562068783
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,flowers,0.11072337627410889,0.11044847220182419,0.012602986290134175
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,gtsrb,0.28361621499061584,0.28346219658851624,0.03870632513200764
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,kitti_closest_vehicle_distance,0.28112757205963135,0.28131961822509766,0.22285597657059922
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,mnist,0.046717219054698944,0.04678633064031601,0.14297101304776866
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,pcam,0.24298280477523804,0.24286533892154694,0.5472509611967843
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,pets,0.2678474187850952,0.2672414183616638,0.04407867979296551
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,renderedsst2,0.3184446096420288,0.31814029812812805,0.5
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,resisc45,0.21135206520557404,0.21135208010673523,0.052481123014809665
